CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
12346,198,1,77183.6,1,1,4,6,Potential Loyalists,3
12347,2,5,2790.86,4,4,4,12,Champions,1
12348,121,3,1487.24,2,3,4,9,Loyal Customers,3
12350,182,1,334.4,1,1,2,4,At Risk,2
12352,134,5,1561.81,1,4,4,9,Loyal Customers,3
12353,76,1,89.0,2,1,1,4,At Risk,2
12354,104,1,1079.4,2,1,3,6,Potential Loyalists,3
12355,86,1,459.4,2,1,2,5,Needs Attention,2
12356,118,2,2753.08,2,2,4,8,Loyal Customers,3
12358,23,1,484.86,4,1,2,7,Potential Loyalists,0
12359,62,3,3495.73,3,3,4,10,Champions,3
12360,73,1,1083.58,2,1,3,6,Potential Loyalists,3
12361,159,1,189.9,1,1,1,3,At Risk,2
12362,28,3,1278.1,3,3,4,10,Champions,3
12363,114,1,299.1,2,1,2,5,Needs Attention,2
12365,163,2,641.38,1,2,3,6,Potential Loyalists,3
12370,147,3,2802.66,1,3,4,8,Loyal Customers,3
12372,85,2,914.9200000000001,2,2,3,7,Potential Loyalists,3
12373,183,1,364.6,1,1,2,4,At Risk,2
12377,187,2,1628.12,1,2,4,7,Potential Loyalists,3
12378,2,1,4008.62,4,1,4,9,Loyal Customers,0
12379,42,1,459.84,3,1,2,6,Potential Loyalists,2
12380,58,1,607.5500000000001,3,1,3,7,Potential Loyalists,2
12383,57,5,1850.56,3,4,4,11,Champions,3
12386,210,2,401.9,1,2,2,5,Needs Attention,2
12388,20,4,1668.3400000000001,4,4,4,12,Champions,3
12393,118,3,1061.1000000000001,2,3,3,8,Loyal Customers,3
12394,89,1,381.08,2,1,2,5,Needs Attention,2
12395,34,7,1733.62,3,4,4,11,Champions,1
12397,7,1,1214.81,4,1,3,8,Loyal Customers,0
12399,55,3,899.03,3,3,3,9,Loyal Customers,3
12401,175,1,84.3,1,1,1,3,At Risk,2
12402,195,1,225.6,1,1,1,3,At Risk,2
12405,21,1,1710.39,4,1,4,9,Loyal Customers,0
12406,56,1,1621.25,3,1,4,8,Loyal Customers,3
12407,6,4,1407.3600000000001,4,4,4,12,Champions,0
12408,48,3,1491.77,3,3,4,10,Champions,3
12409,55,1,6207.08,3,1,4,8,Loyal Customers,3
12410,181,2,693.3299999999999,1,2,3,6,Potential Loyalists,3
12412,10,2,890.74,4,2,3,9,Loyal Customers,0
12413,108,2,563.9,2,2,3,7,Potential Loyalists,3
12414,89,3,562.41,2,3,3,8,Loyal Customers,3
12415,16,12,77265.72,4,4,4,12,Champions,1
12417,59,5,1898.27,3,4,4,11,Champions,3
12421,45,2,396.8,3,2,2,7,Potential Loyalists,3
12422,40,2,655.86,3,2,3,8,Loyal Customers,3
12423,64,6,1451.69,2,4,4,10,Champions,3
12424,35,2,1760.96,3,2,4,9,Loyal Customers,3
12426,67,1,582.73,2,1,3,6,Potential Loyalists,2
12427,244,1,303.5,1,1,2,4,At Risk,2
12428,30,7,6942.9800000000005,3,4,4,11,Champions,1
12429,45,3,2844.88,3,3,4,10,Champions,3
12431,9,10,4198.31,4,4,4,12,Champions,1
12432,42,3,4016.66,3,3,4,10,Champions,3
12433,238,2,3787.12,1,2,4,7,Potential Loyalists,3
12434,132,1,286.25,1,1,2,4,At Risk,2
12435,140,1,3978.9900000000002,1,1,4,6,Potential Loyalists,3
12437,50,9,2476.73,3,4,4,11,Champions,1
12438,12,1,890.0699999999999,4,1,3,8,Loyal Customers,0
12441,239,1,173.55,1,1,1,3,At Risk,2
12444,43,1,1870.2,3,1,4,8,Loyal Customers,3
12447,115,1,476.49,2,1,2,5,Needs Attention,2
12449,2,2,1636.88,4,2,4,10,Champions,0
12450,28,2,197.88,3,2,1,6,Potential Loyalists,0
12451,90,2,5307.82,2,2,4,8,Loyal Customers,3
12453,6,1,707.09,4,1,3,8,Loyal Customers,0
12455,28,4,2097.8,3,4,4,11,Champions,3
12456,3,2,2265.4,4,2,4,10,Champions,0
12457,106,3,1067.25,2,3,3,8,Loyal Customers,3
12458,157,1,441.92,1,1,2,4,At Risk,2
12461,27,1,626.88,3,1,3,7,Potential Loyalists,0
12462,175,1,762.11,1,1,3,5,Needs Attention,2
12463,47,3,985.79,3,3,3,9,Loyal Customers,3
12464,22,5,590.4499999999999,4,4,3,11,Champions,3
12465,41,1,440.94,3,1,2,6,Potential Loyalists,2
12468,60,2,729.5400000000001,3,2,3,8,Loyal Customers,3
12471,28,16,9340.18,3,4,4,11,Champions,1
12472,11,5,4927.6,4,4,4,12,Champions,1
12473,64,1,661.6899999999999,2,1,3,6,Potential Loyalists,2
12474,10,12,3896.38,4,4,4,12,Champions,1
12476,13,6,3191.67,4,4,4,12,Champions,1
12477,111,2,4576.97,2,2,4,8,Loyal Customers,3
12480,15,3,2144.95,4,3,4,11,Champions,0
12481,52,8,4085.2599999999998,3,4,4,11,Champions,1
12483,56,5,1314.6100000000001,3,4,4,11,Champions,3
12484,49,2,2276.66,3,2,4,9,Loyal Customers,3
12489,208,1,334.93,1,1,2,4,At Risk,2
12490,11,4,2092.71,4,4,4,12,Champions,1
12493,38,2,433.74,3,2,2,7,Potential Loyalists,3
12494,34,5,868.86,3,4,3,10,Champions,3
12500,41,5,1395.8400000000001,3,4,4,11,Champions,3
12501,209,1,2169.39,1,1,4,6,Potential Loyalists,3
12502,90,3,1842.65,2,3,4,9,Loyal Customers,3
12506,105,1,73.5,2,1,1,4,At Risk,2
12507,6,3,1304.81,4,3,4,11,Champions,0
12509,156,1,176.5,1,1,1,3,At Risk,2
12510,15,2,982.5699999999999,4,2,3,9,Loyal Customers,0
12514,139,1,1017.68,1,1,3,5,Needs Attention,2
12515,225,1,383.7,1,1,2,4,At Risk,2
12516,53,1,583.2,3,1,3,7,Potential Loyalists,2
12517,62,1,749.7,3,1,3,7,Potential Loyalists,3
12520,14,4,2045.85,4,4,4,12,Champions,1
12521,15,1,599.68,4,1,3,8,Loyal Customers,0
12523,7,5,704.94,4,4,3,11,Champions,0
12524,34,6,3122.48,3,4,4,11,Champions,1
12527,167,2,284.92,1,2,2,5,Needs Attention,2
12528,22,3,1053.37,4,3,3,10,Champions,3
12530,106,2,805.0,2,2,3,7,Potential Loyalists,3
12534,3,1,1089.18,4,1,3,8,Loyal Customers,0
12535,59,1,371.45,3,1,2,6,Potential Loyalists,2
12539,134,3,4517.69,1,3,4,8,Loyal Customers,3
12540,10,9,8277.53,4,4,4,12,Champions,1
12541,45,2,536.14,3,2,3,8,Loyal Customers,3
12545,132,1,628.15,1,1,3,5,Needs Attention,2
12547,70,2,207.79999999999998,2,2,1,5,Needs Attention,2
12548,38,1,95.19999999999999,3,1,1,5,Needs Attention,2
12551,230,1,168.0,1,1,1,3,At Risk,2
12553,27,6,2019.3700000000001,3,4,4,11,Champions,1
12556,23,1,308.75,4,1,2,7,Potential Loyalists,0
12557,30,4,9000.960000000001,3,4,4,11,Champions,1
12559,183,2,561.71,1,2,3,6,Potential Loyalists,2
12560,15,1,1292.31,4,1,4,9,Loyal Customers,0
12561,175,1,238.85,1,1,1,3,At Risk,2
12562,48,2,955.23,3,2,3,8,Loyal Customers,3
12564,133,1,456.9,1,1,2,4,At Risk,2
12565,161,1,145.92,1,1,1,3,At Risk,2
12567,52,7,6107.1,3,4,4,11,Champions,1
12569,16,9,1567.99,4,4,4,12,Champions,1
12573,99,1,160.54000000000002,2,1,1,4,At Risk,2
12574,188,1,218.45,1,1,1,3,At Risk,2
12576,22,3,660.85,4,3,3,10,Champions,0
12577,231,1,195.89,1,1,1,3,At Risk,2
12578,202,1,1608.66,1,1,4,6,Potential Loyalists,3
12580,119,1,415.7,2,1,2,5,Needs Attention,2
12582,111,2,511.36,2,2,2,6,Potential Loyalists,3
12583,27,8,3989.1099999999997,3,4,4,11,Champions,1
12584,9,3,769.84,4,3,3,10,Champions,0
12585,106,2,2040.1,2,2,4,8,Loyal Customers,3
12589,17,1,131.5,4,1,1,6,Potential Loyalists,0
12590,83,2,9864.26,2,2,4,8,Loyal Customers,3
12591,189,1,452.84999999999997,1,1,2,4,At Risk,2
12592,85,1,231.8,2,1,1,4,At Risk,2
12593,2,2,321.8,4,2,2,8,Loyal Customers,0
12594,56,7,1807.95,3,4,4,11,Champions,3
12596,114,1,269.95,2,1,2,5,Needs Attention,2
12597,55,2,1428.81,3,2,4,9,Loyal Customers,3
12598,34,4,1584.3799999999999,3,4,4,11,Champions,3
12599,23,5,676.74,4,4,3,11,Champions,3
12600,18,7,1661.19,4,4,4,12,Champions,1
12601,62,5,577.0600000000001,3,4,3,10,Champions,3
12604,134,1,178.5,1,1,1,3,At Risk,2
12609,58,2,800.73,3,2,3,8,Loyal Customers,3
12613,70,4,1462.52,2,4,4,10,Champions,3
12614,150,1,315.6,1,1,2,4,At Risk,2
12615,40,1,634.74,3,1,3,7,Potential Loyalists,3
12616,169,1,255.6,1,1,2,4,At Risk,2
12619,21,4,1709.34,4,4,4,12,Champions,3
12620,77,1,561.66,2,1,3,6,Potential Loyalists,2
12621,19,13,8600.23,4,4,4,12,Champions,1
12622,104,1,180.1,2,1,1,4,At Risk,2
12623,148,1,305.1,1,1,2,4,At Risk,2
12624,50,1,299.94,3,1,2,6,Potential Loyalists,2
12625,84,2,2683.82,2,2,4,8,Loyal Customers,3
12626,13,4,3247.9,4,4,4,12,Champions,1
12627,2,2,1206.18,4,2,3,9,Loyal Customers,0
12633,2,3,1948.75,4,3,4,11,Champions,0
12635,27,1,683.64,3,1,3,7,Potential Loyalists,0
12637,29,5,3049.5,3,4,4,11,Champions,1
