CustomerID,FirstPurchase,LastPurchase,Frequency,Monetary,TotalItems,UniqueProducts,Recency,TenureDays,AvgOrderValue,ItemsPerOrder,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Cluster,ClusterName
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,74215,1,326,1,77183.6,74215.0,1,1,4,6,At Risk,3,Champions
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,7,4310.0,2458,103,2,366,615.7142857142857,351.14285714285717,4,4,4,12,Champions,3,Champions
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,4,1797.24,2341,22,75,283,449.31,585.25,2,3,4,9,Big Spenders,0,Big-Ticket Occasionals
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,631,73,19,1,1757.55,631.0,3,1,4,8,Big Spenders,0,Big-Ticket Occasionals
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,197,17,310,1,334.4,197.0,1,1,2,4,Hibernating,0,Big-Ticket Occasionals
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,8,2506.04,536,59,36,261,313.255,67.0,3,4,4,11,Loyal Customers,1,Core Growth
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,20,4,204,1,89.0,20.0,1,1,1,3,Hibernating,2,Hibernating
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,58,232,1,1079.4,530.0,1,1,3,5,At Risk,0,Big-Ticket Occasionals
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,240,13,214,1,459.4,240.0,1,1,2,4,Hibernating,0,Big-Ticket Occasionals
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,3,2811.43,1591,53,23,303,937.1433333333333,530.3333333333334,3,3,4,10,Big Spenders,3,Champions
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,2708,131,33,1,6207.67,2708.0,3,1,4,8,Big Spenders,0,Big-Ticket Occasionals
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,2,1168.06,248,13,2,150,584.03,124.0,4,2,3,9,Promising,1,Core Growth
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,4,6372.58,1622,214,58,275,1593.145,405.5,2,3,4,9,Big Spenders,3,Champions
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,3,2662.06,1165,105,52,149,887.3533333333334,388.3333333333333,2,3,4,9,Big Spenders,0,Big-Ticket Occasionals
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,91,10,287,1,189.9,91.0,1,1,1,3,Hibernating,2,Hibernating
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,5226.23,2229,201,3,293,522.6229999999999,222.9,4,4,4,12,Champions,3,Champions
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,408,23,110,133,276.0,204.0,2,2,2,6,Hibernating,0,Big-Ticket Occasionals
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1,1506,70,8,105,328.275,376.5,4,3,3,10,Hibernating,1,Core Growth
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38,174,22,291,1,320.69,87.0,1,2,2,5,Hibernating,0,Big-Ticket Occasionals
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,173,11,4,1,168.9,173.0,4,1,1,6,Promising,1,Core Growth
12370,2010-12-14 12:58:00,2011-10-19 14:51:00,4,3545.69,2353,143,51,310,886.4225,588.25,3,3,4,10,Big Spenders,3,Champions
